127.0.0.1 - - [06/Dec/2020:14:23:56 +0900] "GET / HTTP/1.1" 200 24796
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /index.jsp HTTP/1.1" 200 24796
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/css/bootstrap-datepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/css/owl.carousel.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/fonts/icomoon/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/css/jquery-ui.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/css/aos.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/css/owl.theme.default.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/fonts/flaticon/font/flaticon.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/css/jquery.fancybox.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/jquery-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/popper.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/jquery.countdown.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/jquery.easing.1.3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/aos.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/jquery.fancybox.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/jquery.waypoints.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/jquery.sticky.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/jquery.animateNumber.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/isotope.pkgd.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/svg/svg/002-elderly-1.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/svg/svg/001-elderly.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/sign_up.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/login.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/svg/svg/003-rocking-chair.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/img_4_sq.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/img_3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/img_3_sq.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/img_2_sq.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/img_1_sq.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/svg/svg/006-elderly-3.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/svg/svg/005-elderly-2.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/about.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/img_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/img_2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/svg/svg/004-nurse.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/person_1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /resources/images/slider-1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /images/slider-2.jpg HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /images/img_2.jpg HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [06/Dec/2020:14:23:57 +0900] "GET /images/img_3.jpg HTTP/1.1" 404 827
