구분,시설명,주소,전화번호,운영주체,기준일자,위도,경도,행정동
노인의료복지시설(노인요양시설),종암요양원,서울특별시 성북구 종암로9길 56(종암동),02-921-1009,개인,2019-02-27,37.5965778,127.0327749,종암동
노인의료복지시설(노인요양시설),백마요양원,서울특별시 성북구 종암로18길 14(종암동),02-943-6090,개인,2019-02-27,37.59885833,127.0354665,종암동
노인여가복지시설,성북노인종합복지관,서울특별시 성북구 종암로15길 10(종암동),02-929-7950,사회복지법인 진각복지재단,2019-02-27,37.59779187,127.0344106,종암동
재가노인복지시설(주야간보호),성북노인종합복지관 병설 주간보호센터,"서울특별시 성북구 종암로15길 10 (종암동, 성북노인종합복지관)",02-929-4956,사회복지법인 진각복지재단,2019-02-27,37.59779187,127.0344106,종암동
재가노인복지시설(주야간보호),명성노인복지센터,"서울특별시 성북구 정릉동 164-62, 2층",02-915-2336,개인,2019-02-27,37.6051736,127.0118866,정릉4동
노인의료복지시설(노인요양시설),정진요양원,서울특별시 성북구 서경로 110(정릉동),02-943-4272,개인,2019-02-27,37.61270211,127.0133692,정릉4동
노인의료복지시설(노인요양시설),정릉노인요양원,서울특별시 성북구 정릉로12길 69(정릉동),02-911-7782,개인,2019-02-27,37.60587334,127.0025413,정릉3동
노인주거복지시설,성북구립 정릉 노인의 집,서울특별시 성북구 솔샘로5가길 44,02-2241-2543,구립(성북구청),2019-02-27,37.61203609,127.00328,정릉3동
재가노인복지시설(주야간보호),솔샘데이케어센터,서울특별시 성북구 솔샘로17길 8 (정릉동),02-919-8424,사단법인 대한기독교자유연맹,2019-02-27,37.6127748,127.0057581,정릉3동
노인주거복지시설,성북구립 정릉동행 노인의 집,서울특별시 성북구 정릉로24가길 7-1,02-2241-2543,구립(성북구청),2019-02-27,37.60378275,127.0086067,정릉2동
노인여가복지시설,성북구립 정릉실버복지센터,서울특별시 성북구 솔샘로 8(정릉동),02-916-0204,사회복지법인 일광복지재단,2019-02-27,37.60824107,127.004657,정릉2동
재가노인복지시설(주야간보호),정릉데이케어센터,서울특별시 성북구 솔샘로 8 (정릉동),02-916-0204,사회복지법인 일광복지재단,2019-02-27,37.60824107,127.004657,정릉2동
노인의료복지시설(노인요양시설),청화요양원,서울특별시 성북구 서경로 67(정릉동),02-942-2255,개인,2019-02-27,37.60948715,127.0152396,정릉2동
노인의료복지시설(노인요양공동생활가정),명성노인복지센터,서울특별시 성북구 보국문로4길 8(정릉동),02-915-2335,개인,2019-02-27,37.60523125,127.0119862,정릉2동
재가노인복지시설(주야간보호),성북미르사랑데이케어센터,"서울특별시 성북구 보국문로 10 (정릉동, 부광빌딩 5층)",02-919-9909,사단법인 한국치매협회,2019-02-27,37.60553762,127.0116556,정릉2동
"재가노인복지시설(방문요양,방문목욕)",연세노인복지센터,서울특별시 성북구 북악산로813,02-846-5571,개인,2019-02-27,37.60114042,127.0149435,정릉1동
재가노인복지시설(주야간보호),장위행복데이케어센터,"서울특별시 성북구 화랑로19길 67, 1층(장위동, 우송빌딩)",02-915-3916,개인,2019-02-27,37.60948447,127.0506613,장위2동
노인여가복지시설,성북구립 장위실버복지센터,서울특별시 성북구 장위로46길 57(장위동),02-913-3369,사회복지법인 진각복지재단,2019-02-27,37.6128337,127.0560729,장위2동
노인의료복지시설(노인요양공동생활가정),유민복지센터,서울특별시 성북구 장위로26길 20(장위동),02-763-3962,개인,2019-02-27,37.61294637,127.0455035,장위1동
